Model,ngram_range,max_features,Train Time (s),Silver Strict,Silver Relaxed,Gold Strict,Gold Relaxed,Drop Relaxed (pts)
SVM C=2.0,"(1, 3)",50000,61.2,0.5530391583869082,0.6493278784336646,0.12582781456953643,0.5215231788079471,12.78046996257175
SVM C=1.0,"(1, 3)",50000,57.1,0.5553769725306839,0.6550263004091175,0.12086092715231789,0.5132450331125827,14.178126729653473
SVM C=1.0,"(1, 2)",50000,25.7,0.5591759205143191,0.6592635885447107,0.11423841059602649,0.5115894039735099,14.767418457120074
SVM C=0.1,"(1, 2)",30000,18.7,0.5355055523085914,0.6424605493863238,0.12748344370860928,0.5115894039735099,13.087114541281386
SVM C=2.0,"(1, 2)",50000,31.2,0.5558153126826417,0.6548801870251315,0.11920529801324503,0.5082781456953642,14.660204132976729
SVM C=1.0,"(1, 3)",30000,51.8,0.5464640561075395,0.6518118059614261,0.11754966887417219,0.5049668874172185,14.684491854420756
SVM C=0.1,"(1, 3)",50000,51.0,0.5360900058445354,0.6431911163062537,0.1291390728476821,0.5033112582781457,13.987985802810798
LogReg C=5.0,"(1, 2)",50000,51.6,0.5479251899473991,0.65239625949737,0.12251655629139073,0.5016556291390728,15.07406303582972
SVM C=0.1,"(1, 2)",50000,19.4,0.5388661601402689,0.6452367036820573,0.12251655629139073,0.5016556291390728,14.358107454298452
LogReg C=5.0,"(1, 3)",50000,68.4,0.5423728813559322,0.6488895382817066,0.11754966887417219,0.5,14.88895382817066
SVM C=2.0,"(1, 2)",30000,29.1,0.5457334891876096,0.6480128579777907,0.10596026490066225,0.49834437086092714,14.966848711686358
SVM C=0.1,"(1, 3)",30000,46.1,0.5334599649327878,0.640853302162478,0.12582781456953643,0.49503311258278143,14.58201895796966
SVM C=1.0,"(1, 2)",30000,23.2,0.5515780245470485,0.6553185271770894,0.11092715231788079,0.4917218543046358,16.35966728724536
LogReg C=5.0,"(1, 2)",30000,41.1,0.5406195207481005,0.6488895382817066,0.12417218543046357,0.48841059602649006,16.047894225521652
SVM C=2.0,"(1, 3)",30000,61.7,0.5416423144360023,0.6449444769140853,0.1076158940397351,0.48841059602649006,15.653388088759524
LogReg C=5.0,"(1, 3)",30000,62.1,0.5378433664523671,0.6485973115137347,0.12251655629139073,0.47516556291390727,17.343174859982742
LogReg C=1.0,"(1, 2)",50000,32.4,0.4751607247223846,0.6084161309175921,0.11920529801324503,0.42218543046357615,18.62307004540159
LogReg C=1.0,"(1, 3)",50000,59.9,0.4742840444184687,0.6081239041496201,0.12251655629139073,0.4155629139072848,19.256099024233535
LogReg C=1.0,"(1, 3)",30000,56.1,0.4650789012273524,0.603302162478083,0.12086092715231789,0.40894039735099336,19.436176512708965
LogReg C=1.0,"(1, 2)",30000,31.7,0.4716540035067212,0.6081239041496201,0.11258278145695365,0.4056291390728477,20.249476507677244
LogReg C=0.1,"(1, 3)",30000,49.3,0.32744009351256576,0.4928404441846873,0.12417218543046357,0.3360927152317881,15.674772895289923
LogReg C=0.1,"(1, 2)",30000,21.7,0.325978959672706,0.49196376388077145,0.12748344370860928,0.3344370860927152,15.752667778805623
LogReg C=0.1,"(1, 3)",50000,53.7,0.32481005260081824,0.4912331969608416,0.12582781456953643,0.32781456953642385,16.341862742441776
LogReg C=0.1,"(1, 2)",50000,22.7,0.3233489187609585,0.4907948568088837,0.12748344370860928,0.326158940397351,16.46359164115327
