Representation,Model,Train_Time_s,Silver_Strict,Silver_Relaxed,Silver_MAE,Silver_Catastrophic>=3,Gold_Strict,Gold_Relaxed,Gold_MAE,Gold_Catastrophic>=3
R1_fulltext,SVM,43.63,0.5360900058445354,0.6431911163062537,1.6094389246054939,0.2982174167153711,0.1291390728476821,0.5033112582781457,2.0943708609271523,0.3741721854304636
R2_grammar_TFIDF,SVM,2.32,0.565166569257744,0.6703682057276447,1.4434541203974285,0.25905902980713036,0.11920529801324503,0.43874172185430466,2.5380794701986753,0.4304635761589404
R3_struct_features,SVM,0.15,0.4361484511981297,0.5287843366452367,2.201636469900643,0.42036820572764466,0.09105960264900662,0.5380794701986755,2.2880794701986753,0.3658940397350993
R4_full_plus_struct,SVM,276.97,0.39757451782583286,0.5169491525423728,2.207334891876096,0.4210987726475745,0.09933774834437085,0.5397350993377483,2.1887417218543046,0.3576158940397351
R1_fulltext,LogReg,102.97,0.4742840444184687,0.6081239041496201,1.744886031560491,0.32218001168907073,0.12251655629139073,0.4155629139072848,2.3559602649006623,0.44867549668874174
R2_grammar_TFIDF,LogReg,9.94,0.4848042080654588,0.6163062536528346,1.6354471069549972,0.29047340736411453,0.11754966887417219,0.3824503311258278,2.6109271523178808,0.4602649006622517
R3_struct_features,LogReg,7.66,0.18118059614260668,0.42650496785505554,2.8828170660432497,0.4833430742255991,0.07947019867549669,0.21688741721854304,3.3046357615894038,0.6423841059602649
R4_full_plus_struct,LogReg,181.88,0.3473115137346581,0.5134424313267095,2.195499707773232,0.39129164231443603,0.14072847682119205,0.35927152317880795,2.3940397350993377,0.4652317880794702
R1_fulltext,RF,220.27,0.5588836937463472,0.6417299824663939,1.6608708357685564,0.3227644652250146,0.12417218543046357,0.6655629139072847,1.6870860927152318,0.25496688741721857
R2_grammar_TFIDF,RF,139.88,0.5729105786090006,0.6534190531852718,1.5905902980713034,0.31019871420222095,0.12417218543046357,0.6572847682119205,1.7549668874172186,0.26490066225165565
R3_struct_features,RF,2.78,0.11820572764465224,0.3395675043834015,2.919929865575687,0.4938632378725891,0.09437086092715231,0.3841059602649007,2.7897350993377485,0.4966887417218543
R4_full_plus_struct,RF,272.9,0.55406195207481,0.6370543541788428,1.6811805961426067,0.3275862068965517,0.12251655629139073,0.6589403973509934,1.718543046357616,0.25662251655629137
