name,sector,trl2020,trl2021,trl2022,trl2023,trl2024,description,NZErationale,supplyChain,theme,keyCountries,read_more,trl_final,text
Enhanced geothermal systems,"Supply,Energy transformation,Power,Generation,Geothermal,Enhanced geothermal systems",4-5,4-5,6,6,7.0,"Enhanced or engineered geothermal systems aim at using the heat of the Earth where no or insufficient steam or hot water exists and where permeability is low. EGS technology is centred on engineering and creating large heat exchange areas in hot rock. The process involves enhancing permeability by opening pre-existing fractures and/or creating new fractures. Heat is extracted by pumping a transfer medium, typically water, down a borehole into the hot fractured rock and then pumping the heated fluid up another borehole to a power plant, from where it is pumped back down (recirculated) to repeat the cycle. There were significant developments in 2024, predominantly by Fervo and their PPA with Google, but Sage also made some progress with securing 100% offtake with Meta.","Opens the opportunity to use a much larger fraction of thermal energy, but there is uncertainty on future costs.",Power generation,Renewables,"Austria,Belgium,Croatia,El Salvador,France,Germany,Hungary,Netherlands,United Kingdom,United States",https://www.iea.org/reports/renewable-electricity,7.0,"Enhanced or engineered geothermal systems aim at using the heat of the Earth where no or insufficient steam or hot water exists and where permeability is low. EGS technology is centred on engineering and creating large heat exchange areas in hot rock. The process involves enhancing permeability by opening pre-existing fractures and/or creating new fractures. Heat is extracted by pumping a transfer medium, typically water, down a borehole into the hot fractured rock and then pumping the heated fluid up another borehole to a power plant, from where it is pumped back down (recirculated) to repeat the cycle. There were significant developments in 2024, predominantly by Fervo and their PPA with Google, but Sage also made some progress with securing 100% offtake with Meta. Opens the opportunity to use a much larger fraction of thermal energy, but there is uncertainty on future costs."
Building design tools,"Demand,Buildings,Buildings construction and renovation,Building design tools",9,9,9,9,9.0,Design tools to support building designers in estimating the combined impact of the different technologies during the design phase of a new building or of a building renovation. Such tools allow management of a greater number of alternatives in finding optimal design solutions.,Necessary to combine technologies to maximise the performance of the building.,Buildings infrastructure,,,,9.0,Design tools to support building designers in estimating the combined impact of the different technologies during the design phase of a new building or of a building renovation. Such tools allow management of a greater number of alternatives in finding optimal design solutions. Necessary to combine technologies to maximise the performance of the building.
Building inspection tools,"Demand,Buildings,Buildings construction and renovation,Building inspection tools",,,,,8.0,"Immersive technologies for buildings enabling remote, real-time inspections of 3D virtual replicas of construction sites",Eliminates travel needs for buildings inspections,Buildings infrastructure,,,,8.0,"Immersive technologies for buildings enabling remote, real-time inspections of 3D virtual replicas of construction sites Eliminates travel needs for buildings inspections"
Building integrated photovoltaic systems,"Demand,Buildings,Buildings construction and renovation,Electricity generation,Building integrated photovoltaic systems",9,9,9,9,9.0,"Photovoltaic systems (e.g. panels, cells or any other product) are integrated in the building skin. Two technologies are in competition: thick crystal products (made from crystalline silicon) and thin-film products (where an active photovoltaic material is placed on a glass or metal substrate).  ","High electricity generation potential and high cost-competitiveness under PV-friendly regulations. In the Net Zero Emissions by 2050 Scenario, solar PV and wind supply about 40% of building electricity use by 2030.",Power generation,Renewables,European Union,https://www.iea.org/reports/solar-pv-and-wind-supply-about-40-of-building-electricity-use-by-2030,9.0,"Photovoltaic systems (e.g. panels, cells or any other product) are integrated in the building skin. Two technologies are in competition: thick crystal products (made from crystalline silicon) and thin-film products (where an active photovoltaic material is placed on a glass or metal substrate).   High electricity generation potential and high cost-competitiveness under PV-friendly regulations. In the Net Zero Emissions by 2050 Scenario, solar PV and wind supply about 40% of building electricity use by 2030."
Building orientation for lighting performance,"Demand,Buildings,Buildings construction and renovation,Lighting performance,Building orientation for lighting performance",11,11,11,11,11.0,"Attention to building design to maximise daylight in the building through, for example, window placement, light shelves, shorter partitions.","Maximisation of daylight, increased visual comfort.",Light infrastructure,,,,9.0,"Attention to building design to maximise daylight in the building through, for example, window placement, light shelves, shorter partitions. Maximisation of daylight, increased visual comfort."
Fibre-optic daylighting,"Demand,Buildings,Buildings construction and renovation,Lighting performance,Fibre-optic daylighting",6,6,6,6,6.0,"Fibre optics combined with solar light collectors to transmit daylight in zones usually hard to light in the day, also called ""remote source lighting"".",Exploitation of daylight.,Light infrastructure,,"Sweden,United States,Japan",,6.0,"Fibre optics combined with solar light collectors to transmit daylight in zones usually hard to light in the day, also called ""remote source lighting"". Exploitation of daylight."
Extended building materials lifetime,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Extended building materials lifetime",9,9,9,9,9.0,"Modular building components include re-configurable systems, and overall systems, networks and designs that allow disassembly so that buildings can meet different needs (e.g. serving as a meeting room, conference room, co-working space, etc) or even be used for different functions (e.g. office space, residential use, etc).","Lifetime extension is the primary source of material savings in the Net Zero Emissions by 2050 Scenario, and making buildings flexible is key to extending their lifespans.",Buildings infrastructure,Materials,,,9.0,"Modular building components include re-configurable systems, and overall systems, networks and designs that allow disassembly so that buildings can meet different needs (e.g. serving as a meeting room, conference room, co-working space, etc) or even be used for different functions (e.g. office space, residential use, etc). Lifetime extension is the primary source of material savings in the Net Zero Emissions by 2050 Scenario, and making buildings flexible is key to extending their lifespans."
Composite construction,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Lightweighting,Composite construction",10,10,10,10,10.0,"Composite construction uses a combination of two or more materials used together in the main structural elements. Examples include buildings which utilise: steel columns with a floor system of reinforced concrete beams; a steel frame system with a concrete core; concrete-encased steel columns; concrete-filled steel tubes; a timber frame with a concrete core, etc.","Composite construction is already dominating the high-rise construction market, and gaining market shares every year.",Buildings infrastructure,Materials,"United States,Europe",,9.0,"Composite construction uses a combination of two or more materials used together in the main structural elements. Examples include buildings which utilise: steel columns with a floor system of reinforced concrete beams; a steel frame system with a concrete core; concrete-encased steel columns; concrete-filled steel tubes; a timber frame with a concrete core, etc. Composite construction is already dominating the high-rise construction market, and gaining market shares every year."
Composite materials,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Lightweighting,Composite materials",9,9,9,9,9.0,"Composite materials consist of two or more chemically distinct constituents on a macro-scale with properties which cannot be obtained by any constituent working individually. They may include materials reinforced with fibres, flakes, particulates, or laminated composites, etc.",The association of several structural materials enhances material quality and allows to use fewer carbon-intensive structural elements within the building.,Buildings infrastructure,Materials,,,9.0,"Composite materials consist of two or more chemically distinct constituents on a macro-scale with properties which cannot be obtained by any constituent working individually. They may include materials reinforced with fibres, flakes, particulates, or laminated composites, etc. The association of several structural materials enhances material quality and allows to use fewer carbon-intensive structural elements within the building."
Funicular floor system,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Lightweighting,Funicular floor system",4,4,4,4,4.0,"The funicular floor is a thin concrete element consisting of vaults and optimised stiffening fins. The thickness of the slab and fins is no more than 20 mm, which allows 70% of the concrete to be replaced by low-density insulation materials to improve the thermal performance of the floor.",The funicular floor system uses (on-average) 70% less concrete than a traditional slab and uses no reinforcement. It also has better environmental performance.,Buildings infrastructure,Materials,Switzerland,,4.0,"The funicular floor is a thin concrete element consisting of vaults and optimised stiffening fins. The thickness of the slab and fins is no more than 20 mm, which allows 70% of the concrete to be replaced by low-density insulation materials to improve the thermal performance of the floor. The funicular floor system uses (on-average) 70% less concrete than a traditional slab and uses no reinforcement. It also has better environmental performance."
